release_id,task_id,family,source,execution_mode,model_alias,model_display_name,requested_model_id,provider,condition,passed,input_tokens,output_tokens,thoughts_tokens,total_tokens,opus_gene_source,subset,subset_memberships,source_run_id,source_segment,protocol,runner_seed,provider_sampling_seed,trial_count,manifest_sha256,skill_asset_set_sha256,opus_gene_asset_set_sha256,gemini_gene_asset_set_sha256
73d08c560817d745c8415927,T0001,agent_env_synth,v3_solution_first,pytest_pkg,bedrock_opus48,Anthropic Claude Opus 4.8,global.anthropic.claude-opus-4-8,AWS Bedrock Converse API,no_context,0,771,1668,0,2439,reference_distilled,opus_reference_distilled526,full778;opus_reference_distilled526,v3_final_common778_claude_thinklow,historical,legacy-v1,42,not_recorded,1,191587d6e35b794601c096e98133577ea497ab9e09936f6818d1b9e30a14264d,56cdc55579a77eaf315189edc69079bc16db7da3c225e97d2072a2ee52b637e0,edf8f37cb7db6d3dbdb629f53d1603b3814636144cd2498a27db37ccbe4e9f8a,506b6eac3f607319d0eadd8fe94e7be55f53f37a2635a0e98d6747276c536bdd
73d08c560817d745c8415927,T0002,agent_env_synth,v3_solution_first,pytest_pkg,bedrock_opus48,Anthropic Claude Opus 4.8,global.anthropic.claude-opus-4-8,AWS Bedrock Converse API,no_context,0,794,2527,0,3321,reference_distilled,opus_reference_distilled526,full778;opus_reference_distilled526,v3_final_common778_claude_thinklow,historical,legacy-v1,42,not_recorded,1,191587d6e35b794601c096e98133577ea497ab9e09936f6818d1b9e30a14264d,56cdc55579a77eaf315189edc69079bc16db7da3c225e97d2072a2ee52b637e0,edf8f37cb7db6d3dbdb629f53d1603b3814636144cd2498a27db37ccbe4e9f8a,506b6eac3f607319d0eadd8fe94e7be55f53f37a2635a0e98d6747276c536bdd
73d08c560817d745c8415927,T0003,agent_env_synth,v3_solution_first,pytest_pkg,bedrock_opus48,Anthropic Claude Opus 4.8,global.anthropic.claude-opus-4-8,AWS Bedrock Converse API,no_context,1,733,950,0,1683,evolved,opus_evolved252,full778;opus_evolved252;common_evolved180,v3_final_common778_claude_thinklow,historical,legacy-v1,42,not_recorded,1,191587d6e35b794601c096e98133577ea497ab9e09936f6818d1b9e30a14264d,56cdc55579a77eaf315189edc69079bc16db7da3c225e97d2072a2ee52b637e0,edf8f37cb7db6d3dbdb629f53d1603b3814636144cd2498a27db37ccbe4e9f8a,506b6eac3f607319d0eadd8fe94e7be55f53f37a2635a0e98d6747276c536bdd
73d08c560817d745c8415927,T0004,agent_env_synth,v3_solution_first,pytest_pkg,bedrock_opus48,Anthropic Claude Opus 4.8,global.anthropic.claude-opus-4-8,AWS Bedrock Converse API,no_context,1,860,718,0,1578,evolved,opus_evolved252,full778;opus_evolved252;common_evolved180,v3_final_common778_claude_thinklow,historical,legacy-v1,42,not_recorded,1,191587d6e35b794601c096e98133577ea497ab9e09936f6818d1b9e30a14264d,56cdc55579a77eaf315189edc69079bc16db7da3c225e97d2072a2ee52b637e0,edf8f37cb7db6d3dbdb629f53d1603b3814636144cd2498a27db37ccbe4e9f8a,506b6eac3f607319d0eadd8fe94e7be55f53f37a2635a0e98d6747276c536bdd
73d08c560817d745c8415927,T0005,agent_env_synth,v3_solution_first,pytest_pkg,bedrock_opus48,Anthropic Claude Opus 4.8,global.anthropic.claude-opus-4-8,AWS Bedrock Converse API,no_context,0,713,2575,0,3288,reference_distilled,opus_reference_distilled526,full778;opus_reference_distilled526,v3_final_common778_claude_thinklow,historical,legacy-v1,42,not_recorded,1,191587d6e35b794601c096e98133577ea497ab9e09936f6818d1b9e30a14264d,56cdc55579a77eaf315189edc69079bc16db7da3c225e97d2072a2ee52b637e0,edf8f37cb7db6d3dbdb629f53d1603b3814636144cd2498a27db37ccbe4e9f8a,506b6eac3f607319d0eadd8fe94e7be55f53f37a2635a0e98d6747276c536bdd
73d08c560817d745c8415927,T0006,agent_env_synth,v3_solution_first,pytest_pkg,bedrock_opus48,Anthropic Claude Opus 4.8,global.anthropic.claude-opus-4-8,AWS Bedrock Converse API,no_context,0,694,866,0,1560,reference_distilled,opus_reference_distilled526,full778;opus_reference_distilled526,v3_final_common778_claude_thinklow,historical,legacy-v1,42,not_recorded,1,191587d6e35b794601c096e98133577ea497ab9e09936f6818d1b9e30a14264d,56cdc55579a77eaf315189edc69079bc16db7da3c225e97d2072a2ee52b637e0,edf8f37cb7db6d3dbdb629f53d1603b3814636144cd2498a27db37ccbe4e9f8a,506b6eac3f607319d0eadd8fe94e7be55f53f37a2635a0e98d6747276c536bdd
73d08c560817d745c8415927,T0007,agent_env_synth,v3_solution_first,pytest_pkg,bedrock_opus48,Anthropic Claude Opus 4.8,global.anthropic.claude-opus-4-8,AWS Bedrock Converse API,no_context,1,670,392,0,1062,evolved,opus_evolved252,full778;opus_evolved252;common_evolved180,v3_final_common778_claude_thinklow,historical,legacy-v1,42,not_recorded,1,191587d6e35b794601c096e98133577ea497ab9e09936f6818d1b9e30a14264d,56cdc55579a77eaf315189edc69079bc16db7da3c225e97d2072a2ee52b637e0,edf8f37cb7db6d3dbdb629f53d1603b3814636144cd2498a27db37ccbe4e9f8a,506b6eac3f607319d0eadd8fe94e7be55f53f37a2635a0e98d6747276c536bdd
73d08c560817d745c8415927,T0008,agent_env_synth,v3_solution_first,pytest_pkg,bedrock_opus48,Anthropic Claude Opus 4.8,global.anthropic.claude-opus-4-8,AWS Bedrock Converse API,no_context,1,748,531,0,1279,evolved,opus_evolved252,full778;opus_evolved252;common_evolved180,v3_final_common778_claude_thinklow,historical,legacy-v1,42,not_recorded,1,191587d6e35b794601c096e98133577ea497ab9e09936f6818d1b9e30a14264d,56cdc55579a77eaf315189edc69079bc16db7da3c225e97d2072a2ee52b637e0,edf8f37cb7db6d3dbdb629f53d1603b3814636144cd2498a27db37ccbe4e9f8a,506b6eac3f607319d0eadd8fe94e7be55f53f37a2635a0e98d6747276c536bdd
73d08c560817d745c8415927,T0009,agent_env_synth,v3_solution_first,pytest_pkg,bedrock_opus48,Anthropic Claude Opus 4.8,global.anthropic.claude-opus-4-8,AWS Bedrock Converse API,no_context,1,694,503,0,1197,evolved,opus_evolved252,full778;opus_evolved252;common_evolved180,v3_final_common778_claude_thinklow,historical,legacy-v1,42,not_recorded,1,191587d6e35b794601c096e98133577ea497ab9e09936f6818d1b9e30a14264d,56cdc55579a77eaf315189edc69079bc16db7da3c225e97d2072a2ee52b637e0,edf8f37cb7db6d3dbdb629f53d1603b3814636144cd2498a27db37ccbe4e9f8a,506b6eac3f607319d0eadd8fe94e7be55f53f37a2635a0e98d6747276c536bdd
73d08c560817d745c8415927,T0010,agent_env_synth,v3_solution_first,pytest_pkg,bedrock_opus48,Anthropic Claude Opus 4.8,global.anthropic.claude-opus-4-8,AWS Bedrock Converse API,no_context,1,630,475,0,1105,evolved,opus_evolved252,full778;opus_evolved252;common_evolved180,v3_final_common778_claude_thinklow,historical,legacy-v1,42,not_recorded,1,191587d6e35b794601c096e98133577ea497ab9e09936f6818d1b9e30a14264d,56cdc55579a77eaf315189edc69079bc16db7da3c225e97d2072a2ee52b637e0,edf8f37cb7db6d3dbdb629f53d1603b3814636144cd2498a27db37ccbe4e9f8a,506b6eac3f607319d0eadd8fe94e7be55f53f37a2635a0e98d6747276c536bdd
